id_entrevista,regiao,uf,sexo,idade,cor_raca,religiao,escolaridade,confianca_governo,confianca_judiciario,economia_12meses,voto_2t
1,Sul,Paraná,Feminino,45 a 59 anos,Parda,Evangélica,Médio,1,4,Muito melhor,1
2,Nordeste,Ceará,Feminino,45 a 59 anos,Parda,Evangélica,Fundamental,3,4,Muito pior,2
3,Sudeste,Minas Gerais,Masculino,45 a 59 anos,Parda,Católica,Fundamental,1,2,Muito melhor,1
4,Nordeste,Bahia,Masculino,25 a 34 anos,Parda,Evangélica,Superior,1,1,Muito pior,2
5,Nordeste,Ceará,Masculino,25 a 34 anos,Preta,Umbanda,Médio,1,4,Muito pior,2
6,Centro-Oeste,Mato Grosso,Masculino,60 anos ou mais,Preta,Católica,Fundamental,1,3,Muito pior,2
7,Sudeste,São Paulo,Masculino,35 a 44 anos,Branca,Evangélica,Superior,3,2,Pouco melhor,1
8,Sudeste,Minas Gerais,Feminino,35 a 44 anos,Preta,Católica,Fundamental,2,2,Pouco melhor,1
9,Sudeste,Minas Gerais,Feminino,45 a 59 anos,Preta,Católica,Fundamental,1,3,Pouco pior,1
10,Sudeste,São Paulo,Masculino,18 a 24 anos,Parda,É Ateu/Agnóstico/ Não Acredita Em Deus,Médio,3,2,Pouco pior,1
11,Sudeste,São Paulo,Masculino,35 a 44 anos,Branca,Não Tem Religião,Médio,3,1,Muito pior,2
12,Sudeste,São Paulo,Masculino,35 a 44 anos,Parda,Católica,Fundamental,3,1,Igual,Não votou
13,Nordeste,Sergipe,Masculino,18 a 24 anos,Parda,Católica,Médio,2,2,Pouco melhor,1
14,Sul,Paraná,Masculino,60 anos ou mais,Branca,Não Tem Religião,Fundamental,3,3,Muito melhor,Não votou
15,Sul,Paraná,Masculino,25 a 34 anos,Branca,Cristão,Superior,2,2,Igual,2
16,Centro-Oeste,Mato Grosso Do Sul,Feminino,25 a 34 anos,Preta,Católica,Fundamental,4,1,Muito pior,Não votou
17,Nordeste,Ceará,Masculino,25 a 34 anos,Parda,Evangélica,Médio,1,1,Igual,Não votou
18,Nordeste,Ceará,Feminino,45 a 59 anos,Parda,Católica,Médio,3,2,Pouco melhor,1
19,Sudeste,São Paulo,Masculino,35 a 44 anos,Branca,Católica,Médio,3,3,Igual,4
20,Sudeste,Minas Gerais,Feminino,25 a 34 anos,Preta,"Espírita Kardecista, Espiritualista",Superior,4,2,Pouco pior,2
21,Sul,Santa Catarina,Feminino,60 anos ou mais,Preta,É Ateu/Agnóstico/ Não Acredita Em Deus,Superior,4,2,Muito pior,2
22,Sudeste,São Paulo,Masculino,60 anos ou mais,Parda,Católica,Fundamental,1,4,Pouco melhor,1
23,Sudeste,Minas Gerais,Feminino,45 a 59 anos,Parda,Candomblé,Fundamental,3,3,Muito melhor,1
24,Sul,Santa Catarina,Feminino,18 a 24 anos,Preta,Umbanda,Médio,3,3,Não sabe,Não votou
25,Sudeste,São Paulo,Masculino,25 a 34 anos,Branca,Evangélica,Médio,1,4,Pouco melhor,1
26,Sudeste,São Paulo,Feminino,60 anos ou mais,Branca,Evangélica,Médio,3,3,Muito pior,2
27,Sul,Santa Catarina,Feminino,25 a 34 anos,Branca,Evangélica,Médio,3,3,Pouco pior,1
28,Sudeste,Minas Gerais,Masculino,60 anos ou mais,Branca,Católica,Fundamental,4,3,Muito pior,2
29,Norte,Amazonas,Masculino,25 a 34 anos,Preta,Evangélica,Fundamental,3,3,Pouco pior,1
30,Sudeste,Minas Gerais,Masculino,45 a 59 anos,Branca,Católica,Fundamental,3,3,Igual,2
31,Nordeste,Ceará,Feminino,60 anos ou mais,Branca,Católica,Fundamental,Não sabe,2,Muito pior,Não votou
32,Sudeste,São Paulo,Feminino,35 a 44 anos,Branca,Evangélica,Fundamental,3,2,Pouco melhor,1
33,Nordeste,Maranhão,Feminino,45 a 59 anos,Branca,Católica,Fundamental,Não sabe,3,Muito pior,2
34,Sudeste,São Paulo,Feminino,25 a 34 anos,Branca,Católica,Médio,3,3,Pouco melhor,1
35,Nordeste,Pernambuco,Feminino,25 a 34 anos,Preta,Evangélica,Fundamental,3,2,Muito pior,2
36,Sudeste,Minas Gerais,Masculino,35 a 44 anos,Parda,Evangélica,Superior,3,3,Pouco melhor,1
37,Nordeste,Sergipe,Masculino,35 a 44 anos,Branca,Evangélica,Superior,4,3,Muito melhor,1
38,Sudeste,São Paulo,Feminino,35 a 44 anos,Parda,Não Tem Religião,Superior,2,2,Pouco pior,2
39,Sudeste,São Paulo,Masculino,45 a 59 anos,Outras,Católica,Médio,3,3,Não sabe,1
40,Sudeste,São Paulo,Feminino,60 anos ou mais,Branca,"Espírita Kardecista, Espiritualista",Médio,1,4,Muito melhor,1
41,Sudeste,São Paulo,Feminino,35 a 44 anos,Parda,Católica,Médio,3,3,Pouco pior,1
42,Nordeste,Alagoas,Masculino,16 e 17 anos,Parda,Não Tem Religião,Fundamental,3,3,Pouco melhor,3
43,Sudeste,São Paulo,Masculino,35 a 44 anos,Parda,Católica,Médio,2,2,Muito melhor,1
