id,uf,idade,sexo,cor_raca,escolaridade,contra_aborto,votou_bolsonato_1t_2018
R_3hF5dW9hkQh9GrM,PB,35 a 44 anos,Mulher,Parda,Médio,1,0
R_2Va7cr5pijeLfvi,PR,35 a 44 anos,Homem,Branca,Superior,0,0
R_82PRYNssjtLgCOt,RS,25 a 34 anos,Homem,Branca,Superior,0,0
R_pmf49HKo7hbtX8t,BA,18 a 24 anos,Mulher,Parda,Médio,0,0
R_2CKd4IpxTL7DWE3,MG,45 a 59 anos,Mulher,Preta,Superior,0,0
R_30hQYoExgygMnaT,RS,18 a 24 anos,Mulher,Outras,Superior,0,0
R_1jwyF99K3HNOClN,SP,18 a 24 anos,Homem,Parda,Médio,0,1
R_1NEnZ04Y8qdp3Mp,SP,45 a 59 anos,Mulher,Branca,Superior,0,0
R_2YLiQfkbfMmWtwu,SP,35 a 44 anos,Mulher,Branca,Superior,0,0
R_DwRT5QpBLKV3fOh,SP,45 a 59 anos,Mulher,Preta,Médio,1,0
R_3qVgQELTZZlyd1v,RJ,25 a 34 anos,Homem,Parda,Superior,0,1
R_2waztczRuIXb17V,SP,35 a 44 anos,Homem,Branca,Médio,1,1
R_3EQ01uAx7bFcAa6,CE,18 a 24 anos,Mulher,Branca,Médio,0,0
R_3kuH4772aAHxaJh,BA,45 a 59 anos,Mulher,Preta,Superior,0,0
R_3Po9W30Y3Zm7K21,CE,25 a 34 anos,Mulher,Parda,Superior,0,0
R_25FSeBaIWUWmQrL,GO,35 a 44 anos,Mulher,Parda,Superior,0,0
R_24iqZthNUqbKRsn,CE,18 a 24 anos,Homem,Preta,Superior,0,0
R_3FVsxmAUzcPZrBM,SP,18 a 24 anos,Mulher,Branca,Médio,0,0
R_2E5X5Ur4ikeLnEG,PR,35 a 44 anos,Homem,Branca,Médio,1,1
R_eCE6oAH8RujPOHn,SP,60 anos ou mais,Mulher,Branca,Superior,0,1
R_1dGkAjXfoUTDFJq,MG,25 a 34 anos,Homem,Preta,Superior,0,0
R_3Etebv5rMbp1tJw,SP,18 a 24 anos,Mulher,Outras,Superior,0,0
R_2zisADE3XJXec1m,SP,45 a 59 anos,Homem,Parda,Fundamental,0,1
R_0ofwADZK5gRj25H,TO,18 a 24 anos,Mulher,Parda,Médio,0,0
R_20oot9OZ3pMX8B3,PE,35 a 44 anos,Mulher,Preta,Superior,0,0
R_1hJPpQxX2p5oyqg,PE,18 a 24 anos,Homem,Outras,Superior,0,0
R_2QsK19etGI3Gyxj,SP,25 a 34 anos,Mulher,Branca,Superior,0,0
R_240fZOpUbu8I2ux,SP,25 a 34 anos,Homem,Branca,Superior,0,0
R_eA1aoxt81KWW6sN,PA,18 a 24 anos,Mulher,Parda,Médio,0,0
R_247AAGOZlwupWSt,RJ,45 a 59 anos,Mulher,Parda,Superior,0,0
R_3Emxj4TPwg6R2Ts,RJ,45 a 59 anos,Mulher,Branca,Superior,0,0
R_265yirmYXhIC9bI,RS,18 a 24 anos,Mulher,Branca,Médio,0,0
R_9oc7FrMXxoHOyZP,RS,35 a 44 anos,Homem,Branca,Médio,1,0
R_3JIcPbMisLWBARk,CE,35 a 44 anos,Mulher,Branca,Superior,0,1
R_2CPRJvzZyeBPJtC,SP,18 a 24 anos,Mulher,Parda,Médio,1,0
R_3mkNYKGdvnD5Wp0,ES,18 a 24 anos,Mulher,Parda,Superior,0,0
R_12zodL8twUv6ncG,RJ,18 a 24 anos,Homem,Parda,Superior,0,0
R_2w1gzVpYOSFGmhU,PB,25 a 34 anos,Mulher,Parda,Superior,1,0
R_1lb136SMWAvzxpY,SE,18 a 24 anos,Mulher,Preta,Médio,0,0
